"State","Sum_area","bws_score","bwd_score","iav_score","sev_score","gtd_score","rfr_score","cfr_score","drr_score","ucw_score","cep_score","udw_score","usa_score","rri_score","EmpTOT","EmpAgr","EmpMining","EmpUtilities","EmpConst","EmpManu","EmpTrade","EmpRetail","EmpTransp","EmpInform","EmpFin","EmpRealEs","EmpProff_Tech_sci","EmpMAnag","EmpAdmi","EmpEdu","EmpHeal","EmpArts","EmpAcco","EmpOther","EmpNotClass","EstTOT","EstAgr","EstMining","EstUtilities","EstConst","EstManu","EstTrade","EstRetail","EstTransp","EstInform","EstFin","EstRealEs","EstProff_Tech_sci","EstMAnag","EstAdmi","EstEdu","EstHeal","EstArts","EstAcco","EstOther","EstNotClass","PayTOT","PayAgr","PayMining","PayUtilities","PayConst","PayManu","PayTrade","PayRetail","PayTransp","PayInform","PayFin","PayRealEs","PayProff_Tech_sci","PaypMAnag","PayAdmi","PayEdu","PayHeal","PayArts","PayAcco","PayOther","PayNotClass"
"Alabama",134007.842841168,0.628023601626219,0.354232791872894,1.96039120747615,1.35812452197008,1.602974,0.426205911321513,0.209500413450927,1.82768536060989,0.880683333333,1.54488397777358,1.18285567612444,0,0.88,1703952,0,0,0.01,0.05,0.16,0.04,0.13,0.04,0.02,0.04,0.01,0.06,0.01,0.06,0.01,0.16,0.01,0.11,0.05,0,100380,0.01,0,0,0.08,0.04,0.05,0.17,0.03,0.02,0.07,0.05,0.09,0.01,0.05,0.01,0.11,0.01,0.09,0.11,0,78511870,0,0.01,0.02,0.07,0.18,0.06,0.08,0.04,0.02,0.07,0.01,0.11,0.02,0.04,0.01,0.17,0,0.04,0.03,0
"Alaska",1501319.04118529,0.346779015697487,0.371919487741572,1.80642469750873,1.99122515370395,0.79255,1.41536290416567,0.576638776617152,0.602594095618016,0.880683333333,1.4423028633854,0.794721823874435,0.0653594647076854,0.88,266063,0,0.04,0.01,0.06,0.05,0.03,0.12,0.07,0.02,0.03,0.02,0.08,0.02,0.08,0.01,0.2,0.02,0.1,0.04,0,21184,0.02,0.01,0.01,0.12,0.03,0.03,0.11,0.06,0.02,0.04,0.05,0.09,0.01,0.05,0.01,0.13,0.03,0.1,0.09,0,16331033,0,0.08,0.01,0.09,0.05,0.03,0.07,0.09,0.03,0.04,0.01,0.1,0.05,0.07,0,0.21,0.01,0.04,0.02,0
"Arizona",296088.431372699,3.1066059050633,2.4251355618932,2.52025319655959,1.55925354955107,1.79729182650602,0.757906999844749,0.0699101167298182,1.48467967115658,0.880683333333,1.99689364947498,1.19915507251028,0.222684572342382,0.88,2510877,0,0,0,0.07,0.06,0.04,0.13,0.04,0.02,0.07,0.02,0.06,0.02,0.07,0.03,0.16,0.02,0.13,0.04,0,149028,0,0,0,0.09,0.03,0.04,0.12,0.03,0.02,0.06,0.08,0.13,0.01,0.06,0.02,0.13,0.02,0.09,0.08,0,127707100,0,0.01,0.01,0.08,0.08,0.05,0.09,0.04,0.03,0.11,0.02,0.1,0.04,0.05,0.02,0.16,0.01,0.05,0.03,0
"Arkansas",138010.805761867,0.799859082918836,0.588060019239814,1.86941889599715,1.09708529430944,1.602974,0.91880764846834,0,2.14717521285607,0.880683333333,2.92517019866757,1.27157404406057,0,0.88,1026484,0,0,0.01,0.05,0.16,0.05,0.13,0.05,0.02,0.04,0.01,0.04,0.04,0.04,0.02,0.18,0.01,0.11,0.04,0,67154,0.01,0,0,0.08,0.04,0.05,0.16,0.04,0.02,0.07,0.05,0.09,0.02,0.04,0.01,0.12,0.01,0.09,0.1,0,46511722,0,0,0.02,0.06,0.17,0.06,0.09,0.06,0.03,0.06,0.01,0.05,0.09,0.03,0.01,0.19,0,0.04,0.03,0
"California",410367.297720871,2.66437912555282,1.92029862922081,2.7193936898813,2.13262382033855,2.4364897761194,1.23690534872009,0.101472391579243,1.75456945407356,0.880683333333,2.36241263942232,0.79766630753805,0.0631138116170955,0.88,14812024,0,0,0,0.06,0.08,0.05,0.11,0.04,0.05,0.04,0.02,0.09,0.02,0.06,0.03,0.14,0.02,0.12,0.04,0,979918,0,0,0,0.08,0.04,0.06,0.11,0.03,0.03,0.05,0.06,0.14,0.01,0.05,0.02,0.12,0.03,0.09,0.08,0,1064072522,0,0,0.01,0.06,0.08,0.07,0.06,0.03,0.13,0.08,0.02,0.14,0.06,0.04,0.02,0.13,0.02,0.03,0.02,0
"Colorado",270127.869853537,2.63326768572797,1.78301038759572,1.82175077620424,2.18760400453058,1.99698404545455,1.45581250544011,0,1.98389341582081,0.880683333333,2.39723702110286,1.2137762919761,0,0.88,2366541,0,0.01,0,0.08,0.05,0.04,0.12,0.04,0.04,0.05,0.02,0.09,0.02,0.07,0.02,0.14,0.02,0.13,0.05,0,175111,0,0.01,0,0.11,0.03,0.04,0.11,0.02,0.02,0.06,0.08,0.16,0.01,0.05,0.02,0.1,0.02,0.08,0.09,0,135055306,0,0.01,0.01,0.09,0.06,0.06,0.07,0.04,0.08,0.08,0.02,0.15,0.05,0.05,0.01,0.13,0.01,0.04,0.03,0
"Connecticut",12902.3972024964,1.12447667054812,0.57682192255588,1.83239066803697,1.26192106708529,1.71,0.883627842333,0.561030330991143,1.53737050847999,0.880683333333,3.66776969775658,0.190351726054514,0,0.88,1520091,0,0,0.01,0.04,0.11,0.04,0.12,0.03,0.02,0.07,0.01,0.07,0.02,0.05,0.05,0.2,0.02,0.1,0.04,0,87439,0,0,0,0.09,0.04,0.04,0.13,0.02,0.02,0.06,0.04,0.1,0.01,0.06,0.02,0.13,0.02,0.1,0.11,0,97946152,0,0,0.01,0.04,0.13,0.06,0.06,0.02,0.04,0.18,0.01,0.11,0.05,0.04,0.04,0.16,0.01,0.03,0.02,0
"Delaware",5304.55261142763,2.42651688049858,1.10446809231022,2.04952675493748,1.13742342157716,1.602974,0.238538177682735,1.24626444906556,1.94912367529369,0.880683333333,3.51751997747511,0.558445039945444,0,0.88,422044,0,0,0.01,0.06,0.07,0.04,0.13,0.04,0.02,0.1,0.02,0.08,0.02,0.07,0.02,0.18,0.02,0.1,0.04,0,27472,0,0,0,0.09,0.02,0.04,0.13,0.03,0.03,0.07,0.05,0.13,0.02,0.06,0.01,0.12,0.02,0.08,0.08,0.01,25114966,0,0,0.01,0.06,0.08,0.08,0.06,0.03,0.02,0.18,0.01,0.14,0.03,0.05,0.01,0.17,0.01,0.03,0.02,0
"District of Columbia",166.19210522861,0.193117063235202,0.259741219195372,2.18661267026638,0.955806327113116,1.602974,0.5308865739612,0.16621460720074,1.98052571167435,0.880683333333,3.63293569280695,0,0,0.88,543174,0,0,0,0.02,0,0.01,0.04,0.01,0.05,0.04,0.02,0.2,0.02,0.06,0.1,0.14,0.02,0.14,0.14,0,24083,0,0,0,0.02,0,0.02,0.07,0.01,0.04,0.04,0.06,0.25,0.01,0.05,0.03,0.09,0.02,0.11,0.18,0,45850029,0,0,0.01,0.02,0,0.01,0.02,0.01,0.08,0.08,0.02,0.33,0.02,0.03,0.07,0.1,0.01,0.03,0.16,0
"Florida",147985.021264774,1.25524774628863,0.676090756218423,1.83200921627048,1.07407162283217,1.602974,1.60470152713221,0.670450024592969,1.6442366353256,0.880683333333,1.28793873070322,0.771471165639594,0.0220236874090769,0.88,7530942,0,0,0,0.07,0.04,0.04,0.15,0.04,0.02,0.05,0.02,0.07,0.02,0.07,0.02,0.16,0.03,0.13,0.04,0,589632,0,0,0,0.1,0.02,0.05,0.13,0.03,0.02,0.06,0.07,0.14,0,0.07,0.01,0.11,0.02,0.07,0.09,0,356449926,0,0,0.01,0.07,0.05,0.06,0.09,0.04,0.04,0.09,0.02,0.12,0.04,0.06,0.02,0.18,0.02,0.05,0.03,0
