,State,StateCode,Establishments_agriculture,Employment_agriculture,Annual_Payroll_agriculture,Establishments_chemicals,Employment_chemicals,Annual_Payroll_chemicals,Establishments_construction,Employment_construction,Annual_Payroll_construction,Establishments_electrical,Employment_electrical,Annual_Payroll_electrical,Establishments_food,Employment_food,Annual_Payroll_food,Establishments_mining,Employment_mining,Annual_Payroll_mining,Establishments_oil_and_gas,Employment_oil_and_gas,Annual_Payroll_oil_and_gas,Establishments_semiconductor,Employment_semiconductor,Annual_Payroll_semiconductor,Establishments_textile,Employment_textile,Annual_Payroll_textile,EmpTOT,PayTOT
0,Alabama,1,796.0,0.0038,0.0037,197.0,0.0081,0.0138,7792,0.0537,0.0636,282,0.0089,0.0213,349.0,0.0215,0.0172,192.0,0.0035,0.006,97.0,0.0019,0.0035,442.0,0.0443,0.0579,148,0.0052,0.0035,1703952.0,78511870.0
1,Alaska,2,478.0,0.0019,0.0029,14.0,0.0005,0.0004,2527,0.0606,0.0915,88,0.0069,0.0119,208.0,0.0325,0.0266,144.0,0.0327,0.0565,86.0,0.0267,0.0582,38.0,0.0022,0.0022,23,0.0004,0.0002,266063.0,16331033.0
2,Arizona,4,219.0,0.0009,0.0006,190.0,0.0032,0.0043,13089,0.0691,0.0777,149,0.0043,0.0093,377.0,0.0072,0.0061,228.0,0.0046,0.0069,64.0,0.0003,0.0004,525.0,0.0186,0.0322,149,0.0008,0.0005,2510877.0,127707100.0
3,Arkansas,5,638.0,0.0046,0.0049,103.0,0.0054,0.0084,5541,0.0485,0.0546,224,0.0068,0.0149,307.0,0.0468,0.0374,214.0,0.0029,0.0041,223.0,0.0035,0.0058,199.0,0.0229,0.0256,73,0.0039,0.0032,1026484.0,46511722.0
4,California,6,1995.0,0.002,0.0013,1698.0,0.0055,0.0087,79551,0.0565,0.0563,758,0.0035,0.0069,6041.0,0.0154,0.011,511.0,0.0009,0.001,516.0,0.0014,0.0023,4789.0,0.0212,0.0284,3337,0.0027,0.0014,14812024.0,1064072522.0
5,Colorado,8,341.0,0.0008,0.0006,290.0,0.0032,0.0041,19472,0.0739,0.0852,285,0.0038,0.0072,1000.0,0.0131,0.0112,864.0,0.008,0.0126,887.0,0.0078,0.0176,508.0,0.0103,0.0177,196,0.0008,0.0005,2366541.0,135055306.0
6,Connecticut,9,74.0,0.0002,0.0001,154.0,0.0038,0.0047,7930,0.0381,0.0438,117,0.0045,0.0087,427.0,0.0063,0.0042,55.0,0.0004,0.0005,31.0,0.0001,0.0002,498.0,0.0466,0.0641,118,0.0012,0.0009,1520091.0,97946152.0
7,Delaware,10,32.0,0.0003,0.0002,59.0,0.0115,0.0187,2333,0.055,0.0562,44,0.0049,0.0102,83.0,0.0274,0.0165,20.0,0.0009,0.0015,16.0,0.0019,0.0041,79.0,0.0109,0.019,18,0.0003,0.0002,422044.0,25114966.0
8,Florida,12,1095.0,0.0011,0.0008,649.0,0.0028,0.0042,58565,0.0628,0.0692,534,0.0032,0.0079,1421.0,0.0055,0.0052,179.0,0.0005,0.0008,111.0,0.0002,0.0003,1558.0,0.0099,0.0152,740,0.0011,0.0007,7530942.0,356449926.0
9,Georgia,13,926.0,0.0019,0.0016,476.0,0.0069,0.0088,19413,0.0511,0.059,484,0.0061,0.0115,813.0,0.0191,0.015,189.0,0.0014,0.0018,103.0,0.0003,0.0004,578.0,0.0183,0.023,545,0.0099,0.0082,3897146.0,206393176.0
